ffmpeg version 4.3.1 Copyright (c) 2000-2020 the FFmpeg developers
  built with gcc 9.3.0 (Alpine 9.3.0)
  configuration: --prefix=/usr --enable-avresample --enable-avfilter --enable-gnutls --enable-gpl --enable-libass --enable-libmp3lame --enable-libvorbis --enable-libvpx --enable-libxvid --enable-libx264 --enable-libx265 --enable-libtheora --enable-libv4l2 --enable-libdav1d --enable-postproc --enable-pic --enable-pthreads --enable-shared --enable-libxcb --enable-libssh --disable-stripping --disable-static --disable-librtmp --enable-vaapi --enable-vdpau --enable-libopus --enable-libaom --disable-debug
  libavutil      56. 51.100 / 56. 51.100
  libavcodec     58. 91.100 / 58. 91.100
  libavformat    58. 45.100 / 58. 45.100
  libavdevice    58. 10.100 / 58. 10.100
  libavfilter     7. 85.100 /  7. 85.100
  libavresample   4.  0.  0 /  4.  0.  0
  libswscale      5.  7.100 /  5.  7.100
  libswresample   3.  7.100 /  3.  7.100
  libpostproc    55.  7.100 / 55.  7.100
Input #0, image2pipe, from './tmp/gource.pipe':
  Duration: N/A, bitrate: N/A
    Stream #0:0: Video: ppm, rgb24, 1750x970, 60 fps, 60 tbr, 60 tbn, 60 tbc
Input #1, image2pipe, from './tmp/overlay.pipe':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: ppm, rgb24, 1920x1080, 60 fps, 60 tbr, 60 tbn, 60 tbc
Stream mapping:
  Stream #0:0 (ppm) -> pad
  Stream #1:0 (ppm) -> scale
  Stream #1:0 (ppm) -> scale
  vstack -> Stream #0:0 (libx264)
Press [q] to stop, [?] for help
[image2pipe @ 0x7f9cda6a31c0] Thread message queue blocking; consider raising the thread_queue_size option (current value: 8)
[image2pipe @ 0x7f9cd8a65080] Thread message queue blocking; consider raising the thread_queue_size option (current value: 8)
[libx264 @ 0x55d9dacdb740] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 BMI2 AVX2 AVX512
[libx264 @ 0x55d9dacdb740] profile High, level 5.1, 4:2:0, 8-bit
[libx264 @ 0x55d9dacdb740] 264 - core 157 - H.264/MPEG-4 AVC codec - Copyleft 2003-2018 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
Output #0, mp4, to './output/gource.mp4':
  Metadata:
    encoder         : Lavf58.45.100
    Stream #0:0: Video: h264 (libx264) (avc1 / 0x31637661), yuv420p, 1920x1080, q=-1--1, 60 fps, 15360 tbn, 60 tbc (default)
    Metadata:
      encoder         : Lavc58.91.100 libx264
    Side data:
      cpb: bitrate max/min/avg: 0/0/0 buffer size: 0 vbv_delay: N/A
frame=   19 fps=0.0 q=0.0 size=       0kB time=00:00:00.00 bitrate=N/A speed=   0x    
frame=   34 fps= 33 q=0.0 size=       0kB time=00:00:00.00 bitrate=N/A speed=   0x    
frame=   44 fps= 28 q=0.0 size=       0kB time=00:00:00.00 bitrate=N/A speed=   0x    
frame=   55 fps= 27 q=31.0 size=       0kB time=00:00:00.16 bitrate=   2.3kbits/s speed=0.081x    
frame=   66 fps= 26 q=31.0 size=       0kB time=00:00:00.35 bitrate=   1.1kbits/s speed=0.136x    
frame=   78 fps= 25 q=31.0 size=       0kB time=00:00:00.55 bitrate=   0.7kbits/s speed=0.179x    
frame=   89 fps= 25 q=31.0 size=       0kB time=00:00:00.73 bitrate=   0.5kbits/s speed=0.202x    
frame=  101 fps= 24 q=31.0 size=       0kB time=00:00:00.93 bitrate=   0.4kbits/s speed=0.225x    
frame=  112 fps= 24 q=31.0 size=       0kB time=00:00:01.11 bitrate=   0.3kbits/s speed=0.239x    
frame=  124 fps= 24 q=31.0 size=       0kB time=00:00:01.31 bitrate=   0.3kbits/s speed=0.252x    
frame=  135 fps= 24 q=31.0 size=       0kB time=00:00:01.50 bitrate=   0.3kbits/s speed=0.262x    
frame=  146 fps= 23 q=31.0 size=       0kB time=00:00:01.68 bitrate=   0.2kbits/s speed=0.269x    
frame=  157 fps= 23 q=31.0 size=       0kB time=00:00:01.86 bitrate=   0.2kbits/s speed=0.274x    
frame=  168 fps= 23 q=31.0 size=       0kB time=00:00:02.05 bitrate=   0.2kbits/s speed=0.279x    
frame=  179 fps= 23 q=31.0 size=       0kB time=00:00:02.23 bitrate=   0.2kbits/s speed=0.284x    
frame=  190 fps= 23 q=31.0 size=       0kB time=00:00:02.41 bitrate=   0.2kbits/s speed=0.288x    
frame=  200 fps= 22 q=31.0 size=       0kB time=00:00:02.58 bitrate=   0.1kbits/s speed=0.29x    
frame=  211 fps= 22 q=31.0 size=       0kB time=00:00:02.76 bitrate=   0.1kbits/s speed=0.293x    
frame=  221 fps= 22 q=31.0 size=       0kB time=00:00:02.93 bitrate=   0.1kbits/s speed=0.295x    
frame=  232 fps= 22 q=31.0 size=       0kB time=00:00:03.11 bitrate=   0.1kbits/s speed=0.298x    
frame=  243 fps= 22 q=31.0 size=       0kB time=00:00:03.30 bitrate=   0.1kbits/s speed= 0.3x    
frame=  253 fps= 22 q=31.0 size=       0kB time=00:00:03.46 bitrate=   0.1kbits/s speed=0.301x    
frame=  263 fps= 22 q=31.0 size=       0kB time=00:00:03.63 bitrate=   0.1kbits/s speed=0.302x    
frame=  273 fps= 22 q=31.0 size=       0kB time=00:00:03.80 bitrate=   0.1kbits/s speed=0.302x    
frame=  282 fps= 22 q=31.0 size=       0kB time=00:00:03.95 bitrate=   0.1kbits/s speed=0.302x    
frame=  290 fps= 21 q=31.0 size=       0kB time=00:00:04.08 bitrate=   0.1kbits/s speed=0.301x    
frame=  298 fps= 21 q=31.0 size=       0kB time=00:00:04.21 bitrate=   0.1kbits/s speed=0.299x    
frame=  306 fps= 21 q=31.0 size=       0kB time=00:00:04.35 bitrate=   0.1kbits/s speed=0.297x    
frame=  314 fps= 21 q=31.0 size=     256kB time=00:00:04.48 bitrate= 467.8kbits/s speed=0.295x    
frame=  323 fps= 20 q=31.0 size=     256kB time=00:00:04.63 bitrate= 452.7kbits/s speed=0.294x    
frame=  331 fps= 20 q=31.0 size=     256kB time=00:00:04.76 bitrate= 440.0kbits/s speed=0.292x    
frame=  339 fps= 20 q=31.0 size=     256kB time=00:00:04.90 bitrate= 428.1kbits/s speed=0.291x    
frame=  347 fps= 20 q=31.0 size=     256kB time=00:00:05.03 bitrate= 416.7kbits/s speed=0.29x    
frame=  355 fps= 20 q=31.0 size=     256kB time=00:00:05.16 bitrate= 406.0kbits/s speed=0.289x    
frame=  363 fps= 20 q=31.0 size=     256kB time=00:00:05.30 bitrate= 395.8kbits/s speed=0.288x    
frame=  372 fps= 20 q=31.0 size=     256kB time=00:00:05.45 bitrate= 384.9kbits/s speed=0.287x    
frame=  380 fps= 19 q=31.0 size=     256kB time=00:00:05.58 bitrate= 375.7kbits/s speed=0.286x    
frame=  388 fps= 19 q=31.0 size=     256kB time=00:00:05.71 bitrate= 366.9kbits/s speed=0.285x    
frame=  396 fps= 19 q=31.0 size=     256kB time=00:00:05.85 bitrate= 358.5kbits/s speed=0.285x    
frame=  404 fps= 19 q=31.0 size=     512kB time=00:00:05.98 bitrate= 701.1kbits/s speed=0.284x    
frame=  412 fps= 19 q=31.0 size=     512kB time=00:00:06.11 bitrate= 685.8kbits/s speed=0.283x    
frame=  420 fps= 19 q=31.0 size=     512kB time=00:00:06.25 bitrate= 671.1kbits/s speed=0.282x    
frame=  428 fps= 19 q=31.0 size=     512kB time=00:00:06.38 bitrate= 657.1kbits/s speed=0.282x    
frame=  436 fps= 19 q=31.0 size=     512kB time=00:00:06.51 bitrate= 643.7kbits/s speed=0.281x    
frame=  445 fps= 19 q=31.0 size=     512kB time=00:00:06.66 bitrate= 629.2kbits/s speed=0.281x    
frame=  454 fps= 19 q=31.0 size=     512kB time=00:00:06.81 bitrate= 615.4kbits/s speed=0.281x    
frame=  462 fps= 19 q=31.0 size=     512kB time=00:00:06.95 bitrate= 603.5kbits/s speed=0.281x    
frame=  471 fps= 19 q=31.0 size=     512kB time=00:00:07.10 bitrate= 590.8kbits/s speed=0.281x    
frame=  480 fps= 19 q=31.0 size=     512kB time=00:00:07.25 bitrate= 578.6kbits/s speed=0.28x    
frame=  489 fps= 19 q=31.0 size=     512kB time=00:00:07.40 bitrate= 566.8kbits/s speed=0.281x    
frame=  496 fps= 18 q=31.0 size=     512kB time=00:00:07.51 bitrate= 558.0kbits/s speed=0.28x    
frame=  505 fps= 18 q=31.0 size=     512kB time=00:00:07.66 bitrate= 547.1kbits/s speed=0.28x    
frame=  513 fps= 18 q=31.0 size=     512kB time=00:00:07.80 bitrate= 537.8kbits/s speed=0.279x    
frame=  521 fps= 18 q=31.0 size=     512kB time=00:00:07.93 bitrate= 528.7kbits/s speed=0.279x    
frame=  529 fps= 18 q=31.0 size=     768kB time=00:00:08.06 bitrate= 780.0kbits/s speed=0.278x    
frame=  536 fps= 18 q=31.0 size=     768kB time=00:00:08.18 bitrate= 768.9kbits/s speed=0.277x    
frame=  543 fps= 18 q=31.0 size=     768kB time=00:00:08.30 bitrate= 758.0kbits/s speed=0.276x    
frame=  551 fps= 18 q=31.0 size=     768kB time=00:00:08.43 bitrate= 746.1kbits/s speed=0.276x    
frame=  558 fps= 18 q=31.0 size=     768kB time=00:00:08.55 bitrate= 735.9kbits/s speed=0.275x    
frame=  565 fps= 18 q=31.0 size=     768kB time=00:00:08.66 bitrate= 726.0kbits/s speed=0.274x    
frame=  572 fps= 18 q=31.0 size=     768kB time=00:00:08.78 bitrate= 716.3kbits/s speed=0.273x    
frame=  579 fps= 18 q=31.0 size=     768kB time=00:00:08.90 bitrate= 706.9kbits/s speed=0.272x    
frame=  586 fps= 18 q=31.0 size=     768kB time=00:00:09.01 bitrate= 697.8kbits/s speed=0.271x    
frame=  593 fps= 18 q=31.0 size=     768kB time=00:00:09.13 bitrate= 688.9kbits/s speed=0.27x    
frame=  601 fps= 17 q=31.0 size=     768kB time=00:00:09.26 bitrate= 679.0kbits/s speed=0.27x    
frame=  608 fps= 17 q=31.0 size=    1024kB time=00:00:09.38 bitrate= 894.0kbits/s speed=0.269x    
frame=  616 fps= 17 q=31.0 size=    1024kB time=00:00:09.51 bitrate= 881.5kbits/s speed=0.269x    
frame=  623 fps= 17 q=31.0 size=    1024kB time=00:00:09.63 bitrate= 870.8kbits/s speed=0.268x    
frame=  630 fps= 17 q=31.0 size=    1024kB time=00:00:09.75 bitrate= 860.4kbits/s speed=0.267x    
frame=  637 fps= 17 q=31.0 size=    1024kB time=00:00:09.86 bitrate= 850.2kbits/s speed=0.267x    
frame=  644 fps= 17 q=31.0 size=    1024kB time=00:00:09.98 bitrate= 840.3kbits/s speed=0.266x    
frame=  651 fps= 17 q=31.0 size=    1024kB time=00:00:10.10 bitrate= 830.6kbits/s speed=0.266x    
frame=  658 fps= 17 q=31.0 size=    1024kB time=00:00:10.21 bitrate= 821.1kbits/s speed=0.265x    
frame=  665 fps= 17 q=31.0 size=    1024kB time=00:00:10.33 bitrate= 811.8kbits/s speed=0.265x    
frame=  672 fps= 17 q=31.0 size=    1024kB time=00:00:10.45 bitrate= 802.8kbits/s speed=0.264x    
frame=  679 fps= 17 q=31.0 size=    1280kB time=00:00:10.56 bitrate= 992.4kbits/s speed=0.264x    
frame=  686 fps= 17 q=31.0 size=    1280kB time=00:00:10.68 bitrate= 981.5kbits/s speed=0.263x    
frame=  694 fps= 17 q=31.0 size=    1280kB time=00:00:10.81 bitrate= 969.4kbits/s speed=0.263x    
frame=  701 fps= 17 q=31.0 size=    1280kB time=00:00:10.93 bitrate= 959.1kbits/s speed=0.263x    
frame=  709 fps= 17 q=31.0 size=    1280kB time=00:00:11.06 bitrate= 947.5kbits/s speed=0.263x    
frame=  716 fps= 17 q=31.0 size=    1280kB time=00:00:11.18 bitrate= 937.7kbits/s speed=0.262x    
frame=  724 fps= 17 q=31.0 size=    1280kB time=00:00:11.31 bitrate= 926.6kbits/s speed=0.262x    
frame=  732 fps= 17 q=31.0 size=    1280kB time=00:00:11.45 bitrate= 915.8kbits/s speed=0.262x    
frame=  740 fps= 17 q=31.0 size=    1280kB time=00:00:11.58 bitrate= 905.3kbits/s speed=0.262x    
frame=  748 fps= 17 q=31.0 size=    1280kB time=00:00:11.71 bitrate= 895.0kbits/s speed=0.262x    
frame=  756 fps= 17 q=31.0 size=    1280kB time=00:00:11.85 bitrate= 884.9kbits/s speed=0.262x    
frame=  764 fps= 17 q=31.0 size=    1280kB time=00:00:11.98 bitrate= 875.1kbits/s speed=0.262x    
frame=  773 fps= 17 q=31.0 size=    1280kB time=00:00:12.13 bitrate= 864.2kbits/s speed=0.262x    
frame=  780 fps= 17 q=31.0 size=    1280kB time=00:00:12.25 bitrate= 856.0kbits/s speed=0.261x    
frame=  788 fps= 17 q=31.0 size=    1280kB time=00:00:12.38 bitrate= 846.8kbits/s speed=0.261x    
frame=  796 fps= 17 q=31.0 size=    1280kB time=00:00:12.51 bitrate= 837.8kbits/s speed=0.261x    
frame=  804 fps= 17 q=31.0 size=    1280kB time=00:00:12.65 bitrate= 828.9kbits/s speed=0.261x    
frame=  812 fps= 17 q=31.0 size=    1536kB time=00:00:12.78 bitrate= 984.3kbits/s speed=0.261x    
frame=  820 fps= 17 q=31.0 size=    1536kB time=00:00:12.91 bitrate= 974.2kbits/s speed=0.261x    
frame=  828 fps= 17 q=31.0 size=    1536kB time=00:00:13.05 bitrate= 964.2kbits/s speed=0.26x    
frame=  836 fps= 17 q=31.0 size=    1536kB time=00:00:13.18 bitrate= 954.5kbits/s speed=0.26x    
frame=  844 fps= 17 q=31.0 size=    1536kB time=00:00:13.31 bitrate= 944.9kbits/s speed=0.261x    
frame=  852 fps= 16 q=31.0 size=    1536kB time=00:00:13.45 bitrate= 935.6kbits/s speed=0.26x    
frame=  860 fps= 16 q=31.0 size=    1536kB time=00:00:13.58 bitrate= 926.4kbits/s speed=0.26x    
frame=  868 fps= 16 q=31.0 size=    1536kB time=00:00:13.71 bitrate= 917.4kbits/s speed=0.26x    
frame=  876 fps= 16 q=31.0 size=    1536kB time=00:00:13.85 bitrate= 908.5kbits/s speed=0.26x    
frame=  884 fps= 16 q=31.0 size=    1536kB time=00:00:13.98 bitrate= 899.9kbits/s speed=0.26x    
frame=  892 fps= 16 q=31.0 size=    1536kB time=00:00:14.11 bitrate= 891.4kbits/s speed=0.26x    
frame=  899 fps= 16 q=31.0 size=    1536kB time=00:00:14.23 bitrate= 884.1kbits/s speed=0.259x    
frame=  906 fps= 16 q=31.0 size=    1536kB time=00:00:14.35 bitrate= 876.9kbits/s speed=0.259x    
frame=  913 fps= 16 q=31.0 size=    1536kB time=00:00:14.46 bitrate= 869.8kbits/s speed=0.259x    
frame=  920 fps= 16 q=31.0 size=    1536kB time=00:00:14.58 bitrate= 862.9kbits/s speed=0.259x    
frame=  927 fps= 16 q=31.0 size=    1536kB time=00:00:14.70 bitrate= 856.0kbits/s speed=0.258x    
frame=  934 fps= 16 q=31.0 size=    1536kB time=00:00:14.81 bitrate= 849.3kbits/s speed=0.258x    
frame=  942 fps= 16 q=31.0 size=    1536kB time=00:00:14.95 bitrate= 841.7kbits/s speed=0.258x    
frame=  949 fps= 16 q=31.0 size=    1792kB time=00:00:15.06 bitrate= 974.4kbits/s speed=0.258x    
frame=  956 fps= 16 q=31.0 size=    1792kB time=00:00:15.18 bitrate= 966.9kbits/s speed=0.257x    
frame=  964 fps= 16 q=31.0 size=    1792kB time=00:00:15.31 bitrate= 958.5kbits/s speed=0.257x    
frame=  972 fps= 16 q=31.0 size=    1792kB time=00:00:15.45 bitrate= 950.2kbits/s speed=0.257x    
frame=  980 fps= 16 q=31.0 size=    1792kB time=00:00:15.58 bitrate= 942.1kbits/s speed=0.257x    
frame=  987 fps= 16 q=31.0 size=    1792kB time=00:00:15.70 bitrate= 935.1kbits/s speed=0.257x    
frame=  995 fps= 16 q=31.0 size=    1792kB time=00:00:15.83 bitrate= 927.2kbits/s speed=0.257x    
frame= 1004 fps= 16 q=31.0 size=    1792kB time=00:00:15.98 bitrate= 918.5kbits/s speed=0.257x    
frame= 1013 fps= 16 q=31.0 size=    1792kB time=00:00:16.13 bitrate= 909.9kbits/s speed=0.257x    
frame= 1021 fps= 16 q=31.0 size=    1792kB time=00:00:16.26 bitrate= 902.5kbits/s speed=0.257x    
frame= 1028 fps= 16 q=31.0 size=    1792kB time=00:00:16.38 bitrate= 896.1kbits/s speed=0.257x    
frame= 1036 fps= 16 q=31.0 size=    1792kB time=00:00:16.51 bitrate= 888.8kbits/s speed=0.257x    
